Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
214,29033,214-29033,European Euonymus (Euonymus Europaeus) (3 Foot),0,EACH,!B1141
214,29034,214-29034,European Euonymus (Euonymus Europaeus) (4 Foot),0,EACH,!B1142
214,29212,214-29212,Common Winterfat (Eurotia Lanata) (12 Inch),0,EACH,!B1143
214,30018,214-30018,Apacheplume (Fallugia Paradoxa) (18 Inch),0,EACH,!B1144
214,31212,214-31212,New Mexican Forestiera (Forestiera Neomexicana) (12 Inch),0,EACH,!B1145
214,31218,214-31218,New Mexican Forestiera (Forestiera Neomexicana) (18 Inch),0,EACH,!B1146
214,31233,214-31233,New Mexican Forestiera (Forestiera Neomexicana) (3 Foot),0,EACH,!B1147
214,31518,214-31518,Forsythia Arnolds Dwarf (Forsythia X Intermedia Arnolds Dwar,0,EACH,!B1148
214,31718,214-31718,Japanese Forsythia (Forsythia Japonica) (18 Inch),0,EACH,!B1149
214,31732,214-31732,Japanese Forsythia (Forsythia Japonica) (2 Foot),0,EACH,!B1150
214,32460,214-32460,White Ash (Fraxinus Americana) (2 Inch Caliper),0,EACH,!B1151
214,33000,214-33000,Green Ash (Fraxinus Pennsylvanica Lanceolata) (4 Inch Calipe,0,EACH,!B1152
214,33036,214-33036,Purple Ash (Fraxinus Autumn Purple) (6 Foot),0,EACH,!B1153
214,33060,214-33060,Autumn Purple Ash (Fraxinus Americana) (2 Inch Caliper),0,EACH,!B1154
214,33080,214-33080,Autumn Purple Ash (Fraxinus Americana) (4 Inch Caliper),0,EACH,!B1155
214,33636,214-33636,Green Ash (Fraxinus Pennsylvanica Lanceolata) (6 Foot),0,EACH,!B1156
214,33638,214-33638,Green Ash (Fraxinus Pennsylvanica Lanceolata) (8 Foot),0,EACH,!B1157
214,33660,214-33660,Green Ash (Fraxinus Pennsylvanica Lanceolata) (2 Inch Calipe,0,EACH,!B1158
214,33665,214-33665,Green Ash (Fraxinus Pennsylvanica Lanceolata) (2-1/2 Inch Ca,0,EACH,!B1159
214,33865,214-33865,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (2-1,0,EACH,!B1160
214,33870,214-33870,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (3 I,0,EACH,!B1161
214,33880,214-33880,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (4 I,0,EACH,!B1162
214,35038,214-35038,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (8 Foo,0,EACH,!B1163
214,35055,214-35055,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (1-1/2,0,EACH,!B1164
214,35060,214-35060,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (2 Inc,0,EACH,!B1165
214,35065,214-35065,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (2-1/2,0,EACH,!B1166
214,35075,214-35075,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (3 1/2,0,EACH,!B1167
214,35080,214-35080,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (4 Inc,0,EACH,!B1168
214,35638,214-35638,Moraine Locust (Gleditsia Tricanthos Inermis Moraine) (8 Foo,0,EACH,!B1169
214,35665,214-35665,Moraine Locust (Gleditsia Tricanthos Inermis Moraine) (2-1/2,0,EACH,!B1170
214,35675,214-35675,Shademaster Honeylocust (Gleditsia Triacanthos Inermis Shade,0,EACH,!B1171
214,35680,214-35680,Shademaster Honeylocust (Gleditsia Triacanthos Shademaster),0,EACH,!B1172
214,35765,214-35765,Skyline Honeylocust (Gleditsia Triacanthos Inermis Skyline),0,EACH,!B1173
214,35780,214-35780,Skyline Honeylocust (Gleditsia Triacanthos Inermis Skyline),0,EACH,!B1174
214,35865,214-35865,Sunburst Locust (Gleditsia Triacanthos Sunburst) (2-1/2 Inch,0,EACH,!B1175
214,36465,214-36465,Kentucky Coffeetree (Gymnocladus Dioicus) (2-1/2 Inch Calipe,0,EACH,!B1176
214,36470,214-36470,Kentucky Coffeetree (Gymnocladus Dioicus) (3 Inch Caliper),0,EACH,!B1177
214,36600,214-36600,Daylilly (Hemerocallis) (1 Gal),0,EACH,!B1178
214,36732,214-36732,Rock Spirea (Holodiscus Dumosus) (2 Foot),0,EACH,!B1179
214,36832,214-36832,Armstrong Juniper (Juniperus Chinensis Armstrong) (2 Foot),0,EACH,!B1180
214,37060,214-37060,Eastern Black Walnut (Juglans Nigra) (2 Inch Caliper),0,EACH,!B1181
214,37532,214-37532,Blueleaf Juniper (Juniperus Chinensis Glauca) (2 Foot),0,EACH,!B1182
214,37732,214-37732,Old Gold Juniper (Juniperus Chinensis Old Gold) (2 Foot),0,EACH,!B1183
214,38032,214-38032,Pfitzer Juniper (Juniperus Chinensis Pfitzeriana) (2 Foot),0,EACH,!B1184
214,38033,214-38033,Pfitzer Juniper (Juniperus Chinensis Pfitzeriana) (3 Foot),0,EACH,!B1185
214,38132,214-38132,Gold Tip Pfitzer Juniper (Juniperus Chinensis Pfitzeriana Au,0,EACH,!B1186
214,38232,214-38232,Blue Pfitzer Juniper (Juniperus Chinensis Pfitzeriana Glauca,0,EACH,!B1187
214,38332,214-38332,Mountain Common Juniper (Juniperus Communis Saxatilis) (2 Fo,0,EACH,!B1188
214,38431,214-38431,Prince of Wales Juniper (Juniperus Horizontalis) (18 Inch),0,EACH,!B1189
214,38432,214-38432,Blue Chip Juniper (Juniperus Horizontalis) (2 Foot),0,EACH,!B1190
214,38515,214-38515,Andorra Creeping Juniper (Juniperus Horizontalis Plumosa) (1,0,EACH,!B1191
214,38532,214-38532,Andorra Creeping Juniper (Juniperus Horizontalis Plumosa) (2,0,EACH,!B1192
214,38612,214-38612,Creeping Juniper (Juniperus Virginiana Horizontalis) (12 Inc,0,EACH,!B1193
214,38732,214-38732,Arcadia Juniper (Juniperus Horizontalis Arcadia) (2 Foot),0,EACH,!B1194
214,38736,214-38736,One Seed Juniper (Juniperus Monosperma) (6 Foot),0,EACH,!B1195
214,38786,214-38786,One Seed Juniper (Juniperus Monosperma) (6 Foot),0,EACH,!B1196
214,38832,214-38832,Japgarden Juniper (Juniperus Procumbens) (2 Foot),0,EACH,!B1197
214,38932,214-38932,Broadmoor Juniper (Juniperus Sabina Broadmoor) (2 Foot),0,EACH,!B1198
214,39032,214-39032,Rocky Mountain Juniper (Juniperus Scopulorum) (2 Foot),0,EACH,!B1199
214,39033,214-39033,Rocky Mountain Juniper (Juniperus Scopulorum) (3 Foot),0,EACH,!B1200
214,39034,214-39034,Rocky Mountain Juniper (Juniperus Scopulorum) (4 Foot),0,EACH,!B1201
214,39035,214-39035,Rocky Mountain Juniper (Juniperus Scopulorum) (5 Foot),0,EACH,!B1202
214,39232,214-39232,Buffalo Juniper (Juniperus Sabina Buffalo) (2 Foot),0,EACH,!B1203
214,40018,214-40018,Tamarix Juniper (Juniperus Tamariscifolia) (18 Inch),0,EACH,!B1204
214,40032,214-40032,Tamarix Juniper (Juniperus Tamariscifolia) (2 Foot),0,EACH,!B1205
214,40212,214-40212,Utah Juniper (Juniperus Utahensis) (12 Inch),0,EACH,!B1206
214,40232,214-40232,Utah Juniper (Juniperus Utahensis) (2 Foot),0,EACH,!B1207
214,40234,214-40234,Utah Juniper (Juniperus Utahensis) (4 Foot),0,EACH,!B1208
214,40333,214-40333,Eastern Redcedar (Juniperus Virginiana) (3 Foot),0,EACH,!B1209
214,40534,214-40534,Canaert Redcedar (Juniperus Virginiana Canaerti) (4 Foot),0,EACH,!B1210
214,40802,214-40802,English Ivy (Hedera Helix) (1 Year No. 1),0,EACH,!B1211
214,40903,214-40903,Thorndale English Ivy (Hedera Helix) (2 Year No. 1),0,EACH,!B1212
214,41050,214-41050,Goldenraintree (Koelreuteria Paniculata) (1 Inch Caliper),0,EACH,!B1213
214,41070,214-41070,Goldenraintree (Koelreuteria Paniculata) (3 Inch Caliper),0,EACH,!B1214
214,42234,214-42234,European Larch (Larix Decidua) (4 Foot),0,EACH,!B1215
214,42732,214-42732,European Privet (Ligustrum Vulgare) (2 Foot),0,EACH,!B1216
214,43203,214-43203,Halls Japanese Honeysuckle (Lonicera Japonica Halliana) (2 Y,0,EACH,!B1217
214,43432,214-43432,Blueleaf Honeysuckle (Lonicera Korolkowi Zabeli) (2 Foot),0,EACH,!B1218
214,43602,214-43602,Chinese Wolfberry (Lycium Chinense) (No. 1),0,EACH,!B1219
214,43803,214-43803,Matrimonyvine (Lycium Halimifolium) (2 Year No. 1),0,EACH,!B1220
214,43901,214-43901,Moneywort (Lysimachia Nummularia) (2-1/4 Inch Pot),0,EACH,!B1221
214,44002,214-44002,Creeping Mahonia (Mahonia Repens) (No. 1),0,EACH,!B1222
214,44132,214-44132,Oregongrape (Mahonia Aquifolium) (2 Foot),0,EACH,!B1223
214,44234,214-44234,Dolgo Crabapple (Malus Dolgo) (4 Foot),0,EACH,!B1224
214,44255,214-44255,Dolgo Crabapple (Malus Dolgo) (1-1/2 Inch Caliper),0,EACH,!B1225
214,44336,214-44336,Ecktermeyer Crabapple (Malus Ecktermeyer) (6 Ft),0,EACH,!B1226
214,44455,214-44455,Flame Crabapple (Malus Flame) (1-1/2 Caliper),0,EACH,!B1227
214,44734,214-44734,Hopa Crabapple (Malus Hopa) (4 Foot),0,EACH,!B1228
214,44735,214-44735,Hopa Crabapple (Malus Hopa) (5 Foot),0,EACH,!B1229
214,44755,214-44755,Hopa Crabapple (Malus Hopa) (1-1/2 Inch Caliper),0,EACH,!B1230
214,44760,214-44760,Hopa Crabapple (Malus Hopa) (2 Inch Caliper),0,EACH,!B1231
214,44855,214-44855,Pink Spire Crabapple (Malus Pink Spire) (1-1/2 Inch Caliper),0,EACH,!B1232
214,44860,214-44860,Pink Spire Crabapple (Malus Pink Spire) (2 Inch Caliper),0,EACH,!B1233
214,45035,214-45035,Eley Crabapple (Malus Purpurea Eleyi) (5 Foot),0,EACH,!B1234
214,45055,214-45055,Eley Crabapple (Malus Purpurea Eleyi) (1-1/2 Inch Caliper),0,EACH,!B1235
214,45235,214-45235,Radiant Crabapple (Malus Radiant) (5 Foot),0,EACH,!B1236
214,45255,214-45255,Radiant Crabapple (Malus Radiant) (1-1/2 Inch Caliper),0,EACH,!B1237
214,45265,214-45265,Radiant Crabapple (Malus Radiant) (2-1/2 Inch Caliper),0,EACH,!B1238
214,45370,214-45370,Spring Snow Crabapple (Malus Spring Snow) (3 Inch Caliper),0,EACH,!B1239
214,45555,214-45555,Strathmore Crab (Malus Strathmore) (1-1/2 Inch Caliper),0,EACH,!B1240
214,45960,214-45960,Fruitless Mulberry (Morus Alba Kingan) (2 Inch Caliper),0,EACH,!B1241
214,47503,214-47503,Virginia Creeper (Parthenocissus Quinquefolia) (2 Year No. 1,0,EACH,!B1242
214,47603,214-47603,Engelmann Virginia Creeper (Parthenocissus Quinquefolia Enge,0,EACH,!B1243
214,47802,214-47802,Colorado Penstemon (Penstemon Coloradensis) (1 Year No. 1),0,EACH,!B1244
214,48032,214-48032,Squawapple (Peraphyllum Ramosissimum) (2 Foot),0,EACH,!B1245
214,48634,214-48634,Bigsweet Mockorange (Philadelphus Coronarius) (4 Foot),0,EACH,!B1246
214,48709,214-48709,Littleleaf Mockorange (Philadelphus Microphyllus) (9 Inch),0,EACH,!B1247
214,48732,214-48732,Littleleaf Mockorange (Philadelphus Microphyllus) (2 Foot),0,EACH,!B1248
214,48904,214-48904,Moss Phlox (Phlox Subulata) (1 Gal Container),0,EACH,!B1249
214,49334,214-49334,Common Ninebark (Physocarpus Opulifolius) (4 Foot),0,EACH,!B1250
214,49432,214-49432,Goldleaf Ninebark (Physocarpus Opulifolius Luteus) (2 Foot),0,EACH,!B1251
214,49634,214-49634,Norway Spruce (Picea Abies) (4 Foot),0,EACH,!B1252
214,50534,214-50534,Engelmann Spruce (Picea Engelmanni) (4 Foot),0,EACH,!B1253
214,50536,214-50536,Engelmann Spruce (Picea Engelmanni) (6 Foot),0,EACH,!B1254
214,50540,214-50540,Engelmann Spruce (Picea Engelmanni) (10 Foot),0,EACH,!B1255
214,51033,214-51033,Colorado Spruce (Picea Pungens) (3 Foot),0,EACH,!B1256
214,51036,214-51036,Colorado Spruce (Picea Pungens) (6 Foot),0,EACH,!B1257
214,51038,214-51038,Colorado Spruce (Picea Pungens) (8 Foot),0,EACH,!B1258
214,51040,214-51040,Colorado Spruce (Picea Pungens) (10 Foot),0,EACH,!B1259
214,51233,214-51233,Colorado Blue Spruce (Picea Pungens Glauca) (3 Foot),0,EACH,!B1260
214,51234,214-51234,Colorado Blue Spruce (Picea Pungens Glauca) (4 Foot),0,EACH,!B1261
214,51235,214-51235,Colorado Blue Spruce (Picea Pungens Glauca) (5 Foot),0,EACH,!B1262
214,51236,214-51236,Colorado Blue Spruce (Picea Pungens Glauca) (6 Foot),0,EACH,!B1263
214,51238,214-51238,Colorado Blue Spruce (Picea Pungens Glauca) (8 Foot),0,EACH,!B1264
214,51240,214-51240,Colorado Blue Spruce (Picea Pungens Glauca) (10 Foot),0,EACH,!B1265
214,51634,214-51634,Bristlecone Pine (Pinus Aristata) (4 Foot),0,EACH,!B1266
214,51636,214-51636,Bristlecone Pine (Pinus Aristata) (6 Foot),0,EACH,!B1267
214,51835,214-51835,Foxtail Pine (Pinus Balfouriana) (5 Foot),0,EACH,!B1268
214,52233,214-52233,Pinyon Pine (Pinus Cembroides Edulis) (3 Foot),0,EACH,!B1269
214,52234,214-52234,Pinyon Pine (Pinus Cembroides Edulis) (4 Foot),0,EACH,!B1270
214,52235,214-52235,Pinyon Pine (Pinus Cembroides Edulis) (5 F0ot),0,EACH,!B1271
214,52236,214-52236,Pinyon Pine (Pinus Cembroides Edulis) (6 Foot),0,EACH,!B1272
214,52238,214-52238,Pinyon Pine (Pinus Cembroides Edulis) (8 Foot),0,EACH,!B1273
214,52240,214-52240,Pinyon Pine (Pinus Cembroides Edulis) (10 Foot),0,EACH,!B1274
214,52242,214-52242,Pinyon Pine (Pinus Cembroides Edulis) (12 Foot),0,EACH,!B1275
214,52633,214-52633,Lodgepole Pine (Pinus Contorta Latifolia) (3 Foot),0,EACH,!B1276
214,52636,214-52636,Lodgepole Pine (Pinus Contorta Latifolia) (6 Foot),0,EACH,!B1277
214,53032,214-53032,Mugho Swiss Pine (Pinus Mugo Mughus) (2 Foot),0,EACH,!B1278
214,53533,214-53533,Austrian Pine (Pinus Nigra) (3 Foot),0,EACH,!B1279
214,53534,214-53534,Austrian Pine (Pinus Nigra) (4 Foot),0,EACH,!B1280
214,53536,214-53536,Austrian Pine (Pinus Nigra) (6 Foot),0,EACH,!B1281
214,54033,214-54033,Ponderosa Pine (Pinus Ponderosa) (3 Foot),0,EACH,!B1282
214,54034,214-54034,Ponderosa Pine (Pinus Ponderosa) (4 Foot),0,EACH,!B1283
214,54035,214-54035,Ponderosa Pine (Pinus Ponderosa) (5 Foot),0,EACH,!B1284
214,54036,214-54036,Ponderosa Pine (Pinus Ponderosa) (6 Foot),0,EACH,!B1285
214,54038,214-54038,Ponderosa Pine (Pinus Ponderosa) (8 Foot),0,EACH,!B1286
214,54040,214-54040,Ponderosa Pine (Pinus Ponderosa) (10 Foot),0,EACH,!B1287
214,54042,214-54042,Ponderosa Pine (Pinus Ponderosa) (12 Foot),0,EACH,!B1288
214,55034,214-55034,Scotch Pine (Pinus Sylvestris) (4 Foot),0,EACH,!B1289
214,55036,214-55036,Scotch Pine (Pinus Sylvestris) (6 Foot),0,EACH,!B1290
214,56060,214-56060,Sycamore (Platanus Occidentalis) (2 Inch Caliper),0,EACH,!B1291
214,56070,214-56070,Sycamore (Platanus Occidentalis) (3 Inch Caliper),0,EACH,!B1292
214,56512,214-56512,Silverlace Vine (Polygonum Auberti) (12 Inch),0,EACH,!B1293
214,56710,214-56710,Fleeceflower (Polygonum Reyoutria) (10 Inch),0,EACH,!B1294
214,56938,214-56938,Lanceleaf Cottonwood (Populus Acuminata) (8 Foot),0,EACH,!B1295
214,56960,214-56960,Lanceleaf Cottonwood (Populus Acuminata) (2 Inch Caliper),0,EACH,!B1296
214,56980,214-56980,Lanceleaf Cottonwood (Populus Acuminata) (4 Inch Caliper),0,EACH,!B1297
214,57233,214-57233,White Poplar (Populus Alba) (3 Foot),0,EACH,!B1298
214,57236,214-57236,White Poplar (Populus Alba) (6 Foot),0,EACH,!B1299
214,57260,214-57260,White Poplar (Populus Alba) (2 Inch Caliper),0,EACH,!B1300
214,57738,214-57738,Narrowleaf Cottonwood (Populus Angustifolia) (8 Foot),0,EACH,!B1301
214,57755,214-57755,Narrowleaf Cottonwood (Populus Angustifolia) (1-1/2 Inch Cal,0,EACH,!B1302
214,57836,214-57836,Cottonless Cottonwood (Populus Deltoides) (6 Foot),0,EACH,!B1303
214,57838,214-57838,Cottonless Cottonwood (Populus Deltoides) (8 Foot),0,EACH,!B1304
214,57855,214-57855,Cottonless Cottonwood (Populus Deltoides) (1-1/2 Inch Calipe,0,EACH,!B1305
214,57865,214-57865,Cottonless Cottonwood (Populus Deltoides) (2-1/2 Inch Calipe,0,EACH,!B1306
214,57870,214-57870,Cottonless Cottonwood (Populus Deltoides) (3 Inch Caliper),0,EACH,!B1307
214,57936,214-57936,Hybrid Poplar (Populus Maximowiczii X- Pitrichocarpa) (6 Foo,0,EACH,!B1308
214,59038,214-59038,Lombardy Poplar (Populus Nigra Italica) (8 Foot),0,EACH,!B1309
214,60038,214-60038,Cottonless Plains Cottonwood (Populus Sargenti) (8 Foot),0,EACH,!B1310
214,60060,214-60060,Cottonless Plains Cottonwood (Populus Sargenti) (2 Inch Cali,0,EACH,!B1311
214,61232,214-61232,Quaking Aspen (Populus Tremuloides) (2 Foot),0,EACH,!B1312
214,61250,214-61250,Quaking Aspen (Populus Tremuloides) (1 Inch Caliper),0,EACH,!B1313
214,61255,214-61255,Quaking Aspen (Populus Tremuloides) (1-1/2 Inch Caliper),0,EACH,!B1314
214,61270,214-61270,Quaking Aspen (Populus Tremuloides) (3 Inch Caliper),0,EACH,!B1315
214,62506,214-62506,Bush Cinquefoil (Potentilla Fruticosa) (6 Inch),0,EACH,!B1316
214,62518,214-62518,Bush Cinquefoil (Potentilla Fruticosa) (18 Inch),0,EACH,!B1317
214,62519,214-62519,Sutter's Gold Potentilla (Potentilla Fruticosa) (18 Inch),0,EACH,!B1318
214,62909,214-62909,Jackman Bush Cinquefoil (Potentilla Fruticosa Jackmani) (9 I,0,EACH,!B1319
214,62918,214-62918,Jackman Bush Cinquefoil (Potentilla Fruticosa Jackmani) (18,0,EACH,!B1320
214,63012,214-63012,Katherine Dykes Bush Cinquefoil (Potentilla Fruticosa Kather,0,EACH,!B1321
214,63018,214-63018,Tangerine Bush Cinquefoil (Potentilla Fruticosa Tangerine) (,0,EACH,!B1322
214,63101,214-63101,Dwarf Spring Cinquefoil (Potentilla Verna) (2-1/4 Inch Pot),0,EACH,!B1323
214,63512,214-63512,American Plum (Prunus Americana) (12 Inch),0,EACH,!B1324
214,63532,214-63532,American Plum (Prunus Americana) (2 Foot),0,EACH,!B1325
214,63533,214-63533,American Plum (Prunus Americana) (3 Foot),0,EACH,!B1326
214,63555,214-63555,American Plum (Prunus Americana) (1-1/2 Inch Caliper),0,EACH,!B1327
214,63560,214-63560,American Plum (Prunus Americana) (2 Inch Caliper),0,EACH,!B1328
214,63732,214-63732,Zabel Common Laurelcherry (Prunus Laurocerasus Zabeliana) (2,0,EACH,!B1329
214,64034,214-64034,Newport Plum (Prunus Americana Newport) (4 Foot),0,EACH,!B1330
214,64065,214-64065,Newport Plum (Prunus Americana Newport) (2-1/2 Inch Caliper),0,EACH,!B1331
214,65455,214-65455,European Birdcherry (Prunus Padus) (1-1/2 Inch Caliper),0,EACH,!B1332
214,65612,214-65612,Bessey Cherry (Prunus Pumila Besseyi) (12 Inch),0,EACH,!B1333
214,65633,214-65633,Bessey Cherry (Prunus Pumila Besseyi) (3 F0ot),0,EACH,!B1334
214,65734,214-65734,Manchu Cherry (Prunus Tomentosa) (4 Foot),0,EACH,!B1335
214,65932,214-65932,Flowering Plum (Prunus Triloba) (2 Foot),0,EACH,!B1336
214,66412,214-66412,Chokecherry (Prunus Virginiana Demissa) (12 Inch),0,EACH,!B1337
214,66418,214-66418,Chokecherry (Prunus Virginiana Demissa) (18 Inch),0,EACH,!B1338
214,66433,214-66433,Chokecherry (Prunus Virginiana Demissa) (3 Foot),0,EACH,!B1339
214,67033,214-67033,Black Chokecherry (Prunus Virginiana Melanocarpa) (3 Foot),0,EACH,!B1340
214,67034,214-67034,Black Chokecherry (Prunus Virginiana Melanocarpa) (4 Foot),0,EACH,!B1341
214,67534,214-67534,Shubert Chokecherry (Prunus Virginiana Shubert) (4 Foot),0,EACH,!B1342
214,67555,214-67555,Shubert Chokecherry (Prunus Virginiana Shubert) (1-1/2 Inch,0,EACH,!B1343
214,68032,214-68032,Douglasfir (Pseudotsuga Taxifolia) (2 Foot),0,EACH,!B1344
214,68034,214-68034,Douglasfir (Pseudotsuga Taxifolia) (4 Foot),0,EACH,!B1345
214,68036,214-68036,Douglasfir (Pseudotsuga Taxifolia) (6 Foot),0,EACH,!B1346
214,68510,214-68510,Antelope Bitterbrush (Purshia Tridentata) (10 Inch),0,EACH,!B1347
214,69260,214-69260,White Oak (Quercus Alba) (2 Inch Caliper),0,EACH,!B1348
214,69280,214-69280,Swamp White Oak (Quercus Bicolor) (4 Inch Caliper),0,EACH,!B1349
214,70060,214-70060,Northern Red Oak (Quercus Borealis) (2 Inch Caliper),0,EACH,!B1350
214,70080,214-70080,Northern Red Oak (Quercus Borealis) (4 Inch Caliper,0,EACH,!B1351
214,71212,214-71212,Gambel Oak (Quercus Gambeli) (12 Inch),0,EACH,!B1352
214,71232,214-71232,Gambel Oak (Quercus Gambeli) (2 Foot),0,EACH,!B1353
214,71234,214-71234,Gambel Oak (Quercus Gambeli) (4 Foot),0,EACH,!B1354
214,71236,214-71236,Gambel Oak (Quercus Gambeli) (6 Foot),0,EACH,!B1355
214,71806,214-71806,Scrub Oak (Quercus Ilicifolia) (6 Inch),0,EACH,!B1356
214,71965,214-71965,Burr Oak (Quercus Macrocarpa) (2-1/2 Inch Caliper),0,EACH,!B1357
214,71980,214-71980,Burr Oak (Quercus Macrocarpa) (4 Inch Caliper),0,EACH,!B1358
214,72165,214-72165,English Oak (Quercus Robur) (2-1/2 Inch Caliper),0,EACH,!B1359
214,72180,214-72180,English Oak (Quercus Robur) (4 Inch Caliper),0,EACH,!B1360
214,72432,214-72432,Common Buckthorn (Rhamnus Cathartica) (2 Foot),0,EACH,!B1361
214,72636,214-72636,Columnar Buckthorn (Rhamnus Frangula Columnaris) (6 Foot),0,EACH,!B1362
214,72932,214-72932,Smooth Sumac (Rhus Glabra) (2 Foot),0,EACH,!B1363
214,72933,214-72933,Smooth Sumac (Rhus Glabra) (3 Foot),0,EACH,!B1364
214,73006,214-73006,Rocky Mountain Sumac (Rhus Glabra Cismontana) (6 Inch),0,EACH,!B1365
214,73012,214-73012,Rocky Mountain Sumac (Rhus Glabra Cismontana) (12 Inch),0,EACH,!B1366
214,73032,214-73032,Rocky Mountain Sumac (Rhus Glabra Cismontana) (2 Foot),0,EACH,!B1367
214,74008,214-74008,Threeleaf Sumac (Rhus Trilobata) (8 Inch),0,EACH,!B1368
214,74009,214-74009,Threeleaf Sumac (Rhus Trilobata) (9 Inch),0,EACH,!B1369
214,74012,214-74012,Threeleaf Sumac (Rhus Trilobata) (12 Inch),0,EACH,!B1370
214,74032,214-74032,Threeleaf Sumac (Rhus Trilobata) (2 Foot),0,EACH,!B1371
214,74632,214-74632,Staghorn Sumac (Rhus Typhina) (2 Foot),0,EACH,!B1372
214,74633,214-74633,Staghorn Sumac (Rhus Typhina) (3 Foot),0,EACH,!B1373
214,74636,214-74636,Staghorn Sumac (Rhus Typhina) (6 Foot),0,EACH,!B1374
214,74833,214-74833,Cutleaf Sumac (Rhus Typhina Lacinata) (3 Foot),0,EACH,!B1375
214,76018,214-76018,Alpine Currant (Ribes Alpinum) (18 Inch),0,EACH,!B1376
214,76032,214-76032,Alpine Currant (Ribes Alpinum) (2 Foot),0,EACH,!B1377
214,76518,214-76518,Golden Currant (Ribes Aureum) (18 Inch),0,EACH,!B1378
214,76533,214-76533,Golden Currant (Ribes Aureum) (3 Foot),0,EACH,!B1379
214,76732,214-76732,Wax Currant (Ribes Cereum) (2 Foot),0,EACH,!B1380
214,76912,214-76912,Whitestem Gooseberry (Ribes Inerme) (12 Inch),0,EACH,!B1381
214,77535,214-77535,New Mexico Locust (Robinia Neomexicana) (5 Foot),0,EACH,!B1382
214,79035,214-79035,Black Locust (Robinia Pseudocacia) (5 Foot),0,EACH,!B1383
214,80012,214-80012,Wild Rose (Rosa Acicularis) (12 Inch),0,EACH,!B1384
214,80831,214-80831,Hybrid Rose (No.1),0,EACH,!B1385
214,82500,214-82500,Shrub Rose (Rosa Rugosa) (2 Foot),0,EACH,!B1386
214,82512,214-82512,Woods Rose (Rosa Woodsii) (12 Inch),0,EACH,!B1387
214,82550,214-82550,Shrub Rose,0,EACH,!B1388
214,83733,214-83733,Boulder Raspberry (Rubus Deliciosus) (3 Foot),0,EACH,!B1389
214,85018,214-85018,Russian Golden Willow (Salix Alba Vitellina) (18 Inch),0,EACH,!B1390
214,85035,214-85035,Russian Golden Willow (Salix Alba Vitellina) (5 Foot),0,EACH,!B1391
214,85038,214-85038,Russian Golden Willow (Salix Alba Vitellina) (8 Foot),0,EACH,!B1392
214,85455,214-85455,Yellowstem Weeping Willow (Salix Alba Vitellina Pendula) (1-,0,EACH,!B1393
214,85460,214-85460,Yellowstem Weeping Willow (Salix Alba Vitellina Pendula) (2,0,EACH,!B1394
214,85660,214-85660,Babylon Golden Willow (Salix Babylonica Ramulis Aureis) (2 I,0,EACH,!B1395
214,85672,214-85672,Pussy Willow (Salix Discolor) (2 Foot),0,EACH,!B1396
214,85715,214-85715,Coyote Willow (Salix Exigua) (15 Inch),0,EACH,!B1397
214,85733,214-85733,Coyote Willow (Salix Exigua) (3 Foot),0,EACH,!B1398
214,86032,214-86032,Bluestem Willow (Salix Irrorata) (2 Foot),0,EACH,!B1399
214,86232,214-86232,Yellow Mountain Willow (Salix Monticola) (2 Foot),0,EACH,!B1400
214,86560,214-86560,Laurel Willow (Salix Pentandra) (2 Inch Caliper),0,EACH,!B1401
214,86715,214-86715,Black Greasewood (Sarcobatus Vermiculatus) (15 Inch),0,EACH,!B1402
214,87032,214-87032,American Elder (Sambucus Canadensis) (2 Foot),0,EACH,!B1403
214,87132,214-87132,Golden Elder (Sambucus Canadensis Aurea) (2 Foot),0,EACH,!B1404
214,87232,214-87232,Bunchberry Elder (Sambucus Pubens Microbotrys) (2 Foot),0,EACH,!B1405
214,87333,214-87333,European Red Elder (Sambucus Racemosa) (3 Foot),0,EACH,!B1406
214,87401,214-87401,Evergreen Sedum (Sedum Hybridum) (2-1/4 Inch Pot),0,EACH,!B1407
214,87402,214-87402,Goldmoss Stonecrop (Sedum Acre) (2-1/4 Inch Pot),0,EACH,!B1408
214,87403,214-87403,Dragonsblood Stonecrop (Sedum Spurium Dragonsblood) (2 Year,0,EACH,!B1409
214,87512,214-87512,Buffaloberry (Shepherdia Argentea) (12 Inch),0,EACH,!B1410
214,87518,214-87518,Buffaloberry (Shepherdia Argentea) (18 Inch),0,EACH,!B1411
214,87532,214-87532,Buffaloberry (Shepherdia Argentea) (2 Foot),0,EACH,!B1412
214,87533,214-87533,Buffaloberry (Shepherdia Argentea) (3 Foot),0,EACH,!B1413
214,87834,214-87834,Native Mountainash (Sorbus Americana) (4 Foot),0,EACH,!B1414
214,89034,214-89034,European Mountainash (Sorbus Aucuparia) (4 Foot),0,EACH,!B1415
