Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
202,00457,202-00457,Removal of Portions of Present Structure (Class 2) (Hydrodem,0,SY,!B100
202,00460,202-00460,Removal of Portions of Present Structure (Class 3),0,SY,!B101
202,00462,202-00462,Removal of Portions of Present Structure (Class 3A),0,SY,!B102
202,00466,202-00466,Removal of Portions of Present Structure (Class 4),0,SY,!B103
202,00480,202-00480,Removal of Portions of Present Structure (Special),0,SY,!B104
202,00495,202-00495,Removal of Portions of Present Structure,0,L S,!B105
202,00500,202-00500,Removal of Portions of Present Structure,0,EACH,!B106
202,00502,202-00502,Removal of Portions of Present Structure,0,CY,!B107
202,00503,202-00503,Removal of Portions of Present Structure,0,SY,!B108
202,00504,202-00504,Removal of Expansion Device,0,LF,!B109
202,00510,202-00510,Removal of Roadway Contraction Joint,0,LF,!B110
202,00520,202-00520,Removal of Expansion Joint Material,0,LF,!B111
202,00600,202-00600,Removal of Railroad Appurtenances,0,L S,!B112
202,00610,202-00610,Removal of Railroad Track,0,LF,!B113
202,00620,202-00620,Removal of Railroad Crossover,0,EACH,!B114
202,00621,202-00621,Removal of Railroad Turnout,0,EACH,!B115
202,00700,202-00700,Removal of Light Standard,0,EACH,!B116
202,00705,202-00705,Removal of Light Standard Foundation,0,EACH,!B117
202,00710,202-00710,Removal of Power Pole,0,EACH,!B118
202,00715,202-00715,Removal of Closed Circuit Television Pole,0,EACH,!B119
202,00720,202-00720,Removal of Closed Circuit Camera,0,EACH,!B120
202,00725,202-00725,Removal of Existing Lighting System,0,L S,!B121
202,00750,202-00750,Removal of Luminaire,0,EACH,!B122
202,00800,202-00800,Removal of Overpass Mounted Sign Bracket,0,EACH,!B123
202,00805,202-00805,Removal of Overhead Sign Structure,0,EACH,!B124
202,00806,202-00806,Removal of Walkway,0,LF,!B125
202,00810,202-00810,Removal of Ground Sign,50,EACH,!B126
202,00815,202-00815,Removal of Sign (Special),0,EACH,!B127
202,00818,202-00818,Removal of Steel Sign Ground Stub base (36 Inch),0,EACH,!B128
202,00821,202-00821,Removal of Sign Panel,0,EACH,!B129
202,00823,202-00823,Removal of Dynamic Message Sign,0,EACH,!B130
202,00825,202-00825,Removal of Flashing Beacon,0,EACH,!B131
202,00827,202-00827,Removal of Pull Box,0,EACH,!B132
202,00828,202-00828,Removal of Traffic Signal Equipment,1,L S,!B133
202,00830,202-00830,Removal of Traffic Signal Face,0,EACH,!B134
202,00831,202-00831,Removal of Traffic Signal Head,0,EACH,!B135
202,00832,202-00832,Removal of Sign Panel (Special),0,EACH,!B136
202,00840,202-00840,Removal of Traffic Signal Pole,0,EACH,!B137
202,00842,202-00842,Removal of Mast Arm,0,EACH,!B138
202,00845,202-00845,Removal of Traffic Signal Controller,0,EACH,!B139
202,00848,202-00848,Removal of Traffic Signal Controller and Cabinet,0,EACH,!B140
202,00855,202-00855,Removal of Traffic Signal Controller Cabinet,0,EACH,!B141
202,00858,202-00858,Removal of Pedestal Pole,0,EACH,!B142
202,00860,202-00860,Removal of Pedestrian Push Button,0,EACH,!B143
202,00870,202-00870,Removal of Coordination Unit,0,EACH,!B144
202,00873,202-00873,Removal of Tone Decoder,0,EACH,!B145
202,00875,202-00875,Removal of Dome Channelizing Device,0,LF,!B146
202,00880,202-00880,Removal of Traffic Signal Vehicle Detector Amplifier,0,EACH,!B147
202,00882,202-00882,Removal of Traffic Signal Vehicle Detector (Magnetic Type),0,EACH,!B148
202,00885,202-00885,Removal of Traffic Signal Vehicle Detector (Pressure Type),0,EACH,!B149
202,00888,202-00888,Removal of Video Detection System,0,EACH,!B150
202,00889,202-00889,Removal of Detectable Warning,0,EACH,!B151
202,00890,202-00890,Removal of Span Wire Cable,0,LF,!B152
202,00895,202-00895,Removal of Impact Attenuator,0,EACH,!B153
202,00900,202-00900,Removal of Concrete Footing,0,EACH,!B154
202,00950,202-00950,Removal of Concrete Foundation and Slab,0,SY,!B155
202,01000,202-01000,Removal of Fence,0,LF,!B156
202,01010,202-01010,Removal Of Silt Fence,0,LF,!B157
202,01015,202-01015,Removal of Rockfall Fence,0,LF,!B158
202,01017,202-01017,Removal of Wire Mesh,0,SF,!B159
202,01020,202-01020,Removal of Sound Barrier Fence,0,LF,!B160
202,01030,202-01030,Removal of Road Closure Gate,0,EACH,!B161
202,01035,202-01035,Removal of Gate,0,EACH,!B162
202,01040,202-01040,Removal of HOV Gate,0,EACH,!B163
202,01110,202-01110,Removal of Guardrail Type 1,0,LF,!B164
202,01130,202-01130,Removal of Guardrail Type 3,0,LF,!B165
202,01135,202-01135,Removal of Guardrail Thrie Beam,0,LF,!B166
202,01140,202-01140,Removal of Guardrail Type 4,0,LF,!B167
202,01150,202-01150,Removal of Guardrail Type 5,0,LF,!B168
202,01170,202-01170,Removal of Guardrail Type 7,0,LF,!B169
202,01175,202-01175,Removal of Guardrail (Special),0,LF,!B170
202,01180,202-01180,Removal of Median Barrier,0,LF,!B171
202,01200,202-01200,Removal of Tensioned Cable Barrier,0,LF,!B172
202,01300,202-01300,Removal of End Anchorage,0,EACH,!B173
202,01400,202-01400,Removal of Cattle Guard,0,EACH,!B174
202,04000,202-04000,Plug Structure,0,EACH,!B175
202,04001,202-04001,Plug Culvert,0,EACH,!B176
202,04002,202-04002,Clean Culvert,0,EACH,!B177
202,04003,202-04003,Clean Culvert (Special),150,EACH,!B178
202,04004,202-04004,Plug Culvert (Special),0,EACH,!B179
202,04005,202-04005,Clean Valve Box,102,EACH,!B180
202,04010,202-04010,Clean Inlet,0,EACH,!B181
202,04040,202-04040,Clean Box Girder,0,EACH,!B182
202,04041,202-04041,Clean Box Girder (Forms and Debris),0,SF,!B183
202,04042,202-04042,Clean Box Girder (Organic Material),0,SF,!B184
202,04050,202-04050,Clean Expansion Joint,0,LF,!B185
202,04060,202-04060,Dust Abatement,0,L S,!B186
202,04100,202-04100,Abandon Well,0,EACH,!B187
202,04200,202-04200,Plug Storage Tank,0,EACH,!B188
202,04300,202-04300,Removal of Underground Storage Tank,0,EACH,!B189
202,05000,202-05000,Transverse Grooving,0,SY,!B190
202,05002,202-05002,Sawing Concrete (2 Inch),0,LF,!B191
202,05004,202-05004,Sawing Concrete (4 Inch),0,LF,!B192
202,05006,202-05006,Sawing Concrete (6 Inch),0,LF,!B193
202,05008,202-05008,Sawing Concrete (8 Inch),0,LF,!B194
202,05010,202-05010,Sawing Concrete (10 Inch),0,LF,!B195
202,05011,202-05011,Sawing Concrete (10.5 Inch),0,LF,!B196
202,05019,202-05019,Sawing Concrete (Special),0,LF,!B197
202,05026,202-05026,Sawing Asphalt Material (6 Inch),0,LF,!B198
202,05030,202-05030,Sawing Asphalt Material (10 Inch),0,LF,!B199
202,05100,202-05100,Sandblasting Reinforcing Steel,0,SY,!B200
202,05150,202-05150,Sandblasting,0,SF,!B201
202,05300,202-05300,Removal and Disposal of Paint,0,L S,!B202
202,06000,202-06000,Removal of Detour,0,L S,!B203
202,06500,202-06500,Removal of Restraining Bar,0,L S,!B204
202,06510,202-06510,Removal of Inspection Car Rail,0,L S,!B205
202,06520,202-06520,Removal of Existing Wall Panels,0,L S,!B206
202,06530,202-06530,Clean Drain Pipe (Special),0,EACH,!B207
202,07000,202-07000,Obliterate Old Road,0,L S,!B208
202,07100,202-07100,Removal of Access Road (Special),0,L S,!B209
202,07200,202-07200,Removal of Temporary Stream Crossing,0,EACH,!B210
202,11581,202-11581,Fence (Temporary) (Special),0,LF,!B211
203,00000,203-00000,Unclassified Excavation,0,CY,!B212
203,00005,203-00005,Unclassified Excavation (Haul),0,CY,!B213
203,00010,203-00010,Unclassified Excavation (Complete In Place),0,CY,!B214
203,00012,203-00012,Unclassified Excavation (Complete In Place) (Special),0,CY,!B215
203,00015,203-00015,Unclassified Excavation (Haul and Compaction),0,CY,!B216
203,00040,203-00040,Unclassified Excavation (Special),0,CY,!B217
203,00050,203-00050,Unsuitable Material,0,CY,!B218
203,00055,203-00055,Embankment Material (Haul),0,CY,!B219
203,00060,203-00060,Embankment Material (Complete In Place),0,CY,!B220
203,00061,203-00061,Embankment Material (Complete In Place),0,TON,!B221
203,00062,203-00062,Embankment Material (Complete In Place) (Special),0,CY,!B222
203,00065,203-00065,Embankment Material (Complete In Place) (R20),0,CY,!B223
203,00066,203-00066,Embankment Material (Complete In Place) (R40),0,CY,!B224
203,00100,203-00100,Muck Excavation,0,CY,!B225
203,00105,203-00105,Muck Excavation (Haul),0,CY,!B226
203,00112,203-00112,Muck Excavation (Haul) (Special),0,CY,!B227
203,00200,203-00200,Borrow,0,CY,!B228
203,00205,203-00205,Borrow (Haul),0,CY,!B229
203,00210,203-00210,Borrow (Complete In Place),0,CY,!B230
203,00215,203-00215,Borrow (Haul and Compaction),0,CY,!B231
